Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
2016,NW2330E,Ms C Labuschagne ,DA  ,Cooperative Governance and Traditional Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2017,NW2331E,Ms C Labuschagne ,DA  ,Cooperative Governance and Traditional Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2018,NW2332E,Mr L Mphithi ,DA  ,Human Settlements,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 28, 2025",Late,A,,
2019,NW2333E,Ms L Schickerling ,DA  ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 23, 2025",Late,A,,
2020,NW2334E,Mr M J Cuthbert ,DA  ,Public Service and Administration,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 27, 2025",Late,A,,
2021,NW2335E,Mr M J Cuthbert ,DA  ,"Planning, Monitoring and Evaluation","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 27, 2025",Late,A,,
2022,NW2336E,Mr M J Cuthbert ,DA  ,Public Works and Infrastructure,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 23, 2025",Late,A,,
2023,NW2337E,Mr M L Shelembe ,DA  ,Defence and Military Veterans,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 19, 2025",Late,A,,
2024,NW2338E,Ms L R Potgieter ,DA  ,Public Service and Administration,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 27, 2025",Late,A,,
2025,NW2339E,Ms L R Potgieter ,DA  ,Public Service and Administration,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 27, 2025",Late,A,,
2026,NW2340E,Mr A G Bateman ,DA  ,Finance,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 20, 2025",Late,A,,
2027,NW2341E,Ms A M van Zyl ,DA  ,Cooperative Governance and Traditional Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2028,NW2342E,Ms A M van Zyl ,DA  ,Cooperative Governance and Traditional Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2029,NW2343E,Mr J Engelbrecht ,DA  ,Justice and Constitutional Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 22, 2025",Late,A,,
2030,NW2344E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 19, 2025",Late,A,,
2031,NW2345E,Mr C Hattingh ,DA  ,Defence and Military Veterans,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 19, 2025",Late,A,,
2032,NW2347E,Mr M E Nhanha ,DA ,Land Reform and Rural Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, June 11, 2025",Late,A,,
2033,NW2351E,Ms L M Maseko ,DA  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2034,NW2352E,Ms L M Maseko ,DA  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, June 13, 2025",Late,A,,
2035,NW2353E,Ms F Mbiko ,DA  ,Water and Sanitation,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2036,NW2354E,Dr C H H Hunsinger ,DA  ,Transport,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2037,NW2355E,Mr P G Atkinson ,DA ,Agriculture,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 07, 2025",Timeous,A,,
2038,NW2356E,Mr P G Atkinson ,DA  ,Basic Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 22, 2025",Late,A,,
2039,NW2357E,Mr P G Atkinson ,DA  ,Communications and Digital Technologies,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, June 24, 2025",Late,A,,
2040,NW2358E,Mr W A S Aucamp ,DA  ,Cooperative Governance and Traditional Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2041,NW2359E,Mr W A S Aucamp ,DA  ,Correctional Services,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 07, 2025",Timeous,A,,
2042,NW2360E,Mr W A S Aucamp ,DA  ,Defence and Military Veterans,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, June 17, 2025",Late,A,,
2043,NW2361E,Mr J N de Villiers ,DA  ,Electricity and Energy,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2044,NW2362E,Mr J N de Villiers ,DA  ,Employment and Labour,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2045,NW2363E,Mr J N de Villiers ,DA  ,Finance,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2046,NW2364E,Ms N J Bollman ,DA  ,"Forestry, Fisheries and the Environment","Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 05, 2025",Timeous,A,,
2047,NW2365E,Ms N J Bollman ,DA  ,Health,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 06, 2025",Timeous,A,,
2048,NW2366E,Ms N J Bollman ,DA  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, June 03, 2025",Late,A,,
2049,NW2367E,Mr E J Marais ,DA ,Home Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 06, 2025",Timeous,A,,
2050,NW2368E,Mr E J Marais ,DA  ,Human Settlements,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 28, 2025",Late,A,,
2051,NW2369E,Mr E J Marais ,DA  ,International Relations and Cooperation,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2052,NW2370E,Mr M Chetty ,DA  ,Justice and Constitutional Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 09, 2025",Late,A,,
2053,NW2371E,Mr M Chetty ,DA  ,Land Reform and Rural Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 23, 2025",Late,A,,
2054,NW2372E,Mr M Chetty ,DA  ,Mineral and Petroleum Resources,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 08, 2025",Timeous,A,,
2055,NW2373E,Ms K L Khakhau ,DA  ,"Planning, Monitoring and Evaluation","Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 14, 2025",Late,A,,
2056,NW2374E,Ms K L Khakhau ,DA  ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, June 04, 2025",Late,A,,
2057,NW2375E,Ms K L Khakhau ,DA  ,Public Service and Administration,"Friday, April 25, 2025","Tuesday, May 13, 2025",RULE 146(1),R146(1),R146(1),Oral question 729 on 4 June 2025,
2058,NW2376E,Ms T A Khanyile ,DA  ,Public Works and Infrastructure,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, June 11, 2025",Late,A,,
2059,NW2377E,Ms T A Khanyile ,DA  ,"Science, Technology and Innovation","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2060,NW2378E,Ms T A Khanyile ,DA ,Small Business Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 09, 2025",Late,A,,
2061,NW2379E,Mr T B Mabhena ,DA  ,Social Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 15, 2025",Late,A,,
2062,NW2380E,Mr T B Mabhena ,DA  ,"Sport, Arts and Culture","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2063,NW2381E,Mr T B Mabhena ,DA ,Minister in The Presidency,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 23, 2025",Late,A,,
2064,NW2382E,Mrs W R Alexander ,DA  ,Tourism,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 23, 2025",Late,A,,
2065,NW2383E,Mrs W R Alexander ,DA  ,"Trade, Industry and Competition","Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 22, 2025",Late,A,,
2066,NW2384E,Mrs W R Alexander ,DA  ,Transport,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2067,NW2385E,Mr L J Basson ,DA  ,Water and Sanitation,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2068,NW2386E,Mr L J Basson ,DA  ,"Women, Youth and Persons with Disabilities","Friday, April 25, 2025","Tuesday, May 13, 2025",RULE 146(1),R146(1),R146(1),Oral question 730 on 4 June 2025,
2069,NW2387E,Ms O M C Maotwe ,EFF  ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, August 29, 2025",Late,A,,
2070,NW2388E,Ms N V Mente-Nkuna ,EFF  ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 28, 2025",Late,A,,
2071,NW2390E,Mr C G Niehaus ,EFF  ,Finance,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 29, 2025",Late,A,,
2072,NW2391E,Mr C G Niehaus ,EFF  ,Health,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 06, 2025",Timeous,A,,
2073,NW2393E,Ms N Tafeni ,EFF  ,Social Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 15, 2025",Late,A,,
2074,NW2394E,Ms N Tafeni ,EFF  ,Basic Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, April 30, 2025",Timeous,A,,
2075,NW2395E,Ms M S Letlape ,EFF  ,Public Works and Infrastructure,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, June 11, 2025",Late,A,,
2076,NW2396E,Ms M S Letlape ,EFF  ,Public Works and Infrastructure,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, June 11, 2025",Late,A,,
2077,NW2397E,Ms M S Letlape ,EFF  ,Public Works and Infrastructure,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, June 11, 2025",Late,A,,
2078,NW2398E,Mr M B Blose ,EFF  ,Human Settlements,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 28, 2025",Late,A,,
2079,NW2399E,Mr M B Blose ,EFF  ,Basic Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, April 30, 2025",Timeous,A,,
2080,NW2400E,Mr M B Blose ,EFF  ,Agriculture,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 26, 2025",Late,A,,
2081,NW2404E,Mr L M Komane ,EFF  ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 23, 2025",Late,A,,
2082,NW2405E,Mr L M Komane ,EFF  ,Basic Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 22, 2025",Late,A,,
2083,NW2406E,Mr L M Komane ,EFF  ,Transport,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2084,NW2407E,Ms M R Mohlala ,EFF  ,Justice and Constitutional Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 22, 2025",Late,A,,
2085,NW2408E,Ms M R Mohlala ,EFF  ,Justice and Constitutional Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 09, 2025",Late,A,,
2086,NW2409E,Ms M R Mohlala ,EFF  ,Justice and Constitutional Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, June 27, 2025",Late,A,,
2087,NW2410E,Mr T P Mogale ,EFF  ,Agriculture,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 26, 2025",Late,A,,
2088,NW2411E,Ms C N Mkhonto ,EFF  ,Public Service and Administration,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 09, 2025",Late,A,,
2089,NW2412E,Ms N C Mkhonto ,EFF  ,Cooperative Governance and Traditional Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2090,NW2413E,Dr S S Thembekwayo ,EFF  ,"Science, Technology and Innovation","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2091,NW2415E,Mr C Matiwane ,EFF  ,Justice and Constitutional Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 09, 2025",Late,A,,
2092,NW2416E,Mr C Matiwane ,EFF  ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 23, 2025",Late,A,,
2093,NW2417E,Mr C Matiwane ,EFF  ,Electricity and Energy,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, July 18, 2025",Late,A,,
2094,NW2418E ,Ms P Marais ,EFF  ,Electricity and Energy,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2095,NW2419E,Ms P Marais ,EFF  ,Social Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, July 01, 2025",Late,A,,
2096,NW2421E,Ms N R Mashabela ,EFF  ,Tourism,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 23, 2025",Late,A,,
2097,NW2422E,Ms N R Mashabela ,EFF  ,Tourism,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 09, 2025",Timeous,A,,
2098,NW2426E,Mr E Mthethwa ,EFF  ,"Sport, Arts and Culture","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2099,NW2427E,Mr E Mthethwa ,EFF  ,Transport,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2100,NW2428E,Mr E Mthethwa ,EFF  ,"Trade, Industry and Competition","Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 22, 2025",Late,A,,
2101,NW2429E,Ms M S Khawula ,EFF  ,"Sport, Arts and Culture","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2102,NW2430E  ,Ms M S Khawula ,EFF  ,"Sport, Arts and Culture","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2103,NW2431E,Mr V Pambo ,EFF  ,"Sport, Arts and Culture","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2104,NW2432E,Mr V Pambo ,EFF  ,"Sport, Arts and Culture","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2105,NW2433E,Mr V Pambo ,EFF  ,"Sport, Arts and Culture","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2106,NW2434E,Mrs L F Tito ,EFF  ,Health,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 06, 2025",Timeous,A,,
2107,NW2435E,Mrs L F Tito ,EFF  ,Public Works and Infrastructure,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, June 11, 2025",Late,A,,
2108,NW2436E,Ms L Managa ,EFF  ,Cooperative Governance and Traditional Affairs,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2109,NW2437E,Ms N M Mhlongo ,EFF  ,Transport,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2110,NW2438E,Ms N M Mhlongo ,EFF  ,International Relations and Cooperation,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 23, 2025",Late,A,,
2111,NW2439E,Ms N M Mhlongo ,EFF  ,Water and Sanitation,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 12, 2025",Timeous,A,,
2112,NW2440E,Mr M Shikhwambana ,EFF  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, September 17, 2025",Late,A,,
2113,NW2441E,Mr M Shikhwambana ,EFF  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 14, 2025",Late,A,,
2114,NW2442E,Mr M Shikhwambana ,EFF  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Wednesday, May 14, 2025",Late,A,,
2115,NW2443E ,Mr M K Montwedi ,EFF  ,Tourism,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 09, 2025",Timeous,A,,
2116,NW2444E,Mr M K Montwedi ,EFF  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025",REMOVED,R,R,Member resigned,
2117,NW2445E,Mr M K Montwedi ,EFF  ,Electricity and Energy,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2118,NW2446E,Mr S Lonzi ,EFF  ,Higher Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, June 20, 2025",Late,A,,
2119,NW2448E,Ms B K Diale ,EFF  ,Correctional Services,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 30, 2025",Late,A,,
2120,NW2449E,Ms M Dlamini ,EFF  ,Electricity and Energy,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2121,NW2450E,Ms M Dlamini ,EFF  ,Finance,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, June 13, 2025",Late,A,,
2122,NW2451E,Ms M Dlamini ,EFF ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, May 23, 2025",Late,A,,
2123,NW2452E,Ms T J Mokwele ,EFF  ,Social Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 15, 2025",Late,A,,
2124,NW2453E,Mr M N Paulsen ,EFF  ,"Forestry, Fisheries and the Environment","Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, May 05, 2025",Timeous,A,,
2125,NW2454E,Ms B Mathulelwa ,EFF  ,Small Business Development,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 09, 2025",Late,A,,
2126,NW2455E,Ms B Mathulelwa ,EFF  ,Police,"Friday, April 25, 2025","Tuesday, May 13, 2025","Friday, July 11, 2025",Late,A,,
2127,NW2458E,Mr S Thambo ,EFF  ,"Trade, Industry and Competition","Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, May 22, 2025",Late,A,,
2128,NW2460E,Mr L W Mahlatsi ,UAT  ,International Relations and Cooperation,"Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 13, 2025",Timeous,A,,
2129,NW2461E,Mr L W Mahlatsi ,UAT  ,Human Settlements,"Friday, April 25, 2025","Tuesday, May 13, 2025","Monday, June 09, 2025",Late,A,,
2130,NW2462E,Mr L W Mahlatsi ,UAT  ,Basic Education,"Friday, April 25, 2025","Tuesday, May 13, 2025","Thursday, June 05, 2025",Late,A,,
2131,NW2465E,Mr G E Kobane ,MK  ,"Planning, Monitoring and Evaluation","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, May 27, 2025",Late,A,,
2132,NW2466E,Mr G E Kobane ,MK  ,"Women, Youth and Persons with Disabilities","Friday, April 25, 2025","Tuesday, May 13, 2025","Tuesday, July 15, 2025",Late,A,,
2132,NW1748E,Mr S M Gana ,Rise Mzansi ,Correctional Services,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 27, 2025",Late,A,,
2133,NW1750E,Mr S M Gana ,Rise Mzansi ,"Planning, Monitoring and Evaluation","Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 12, 2025",Late,A,,
2134,NW1751E,Mr S M Gana ,Rise Mzansi ,Police,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, August 26, 2025",Late,A,,
2135,NW1752E,Mr S S Zibi ,Rise Mzansi ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 12, 2025",Late,A,,
2136,NW2057E,Ms S Gcilishe ,EFF ,Employment and Labour,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 16, 2025",Timeous,A,,
2137,NW2124E,Ms M C Mafagane ,MK ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2138,NW2125E,Ms D Ntshaba ,MK ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2139,NW2127E,Mr V G Reddy ,MK ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2140,NW2128E,Mr T T S Kubheka ,MK ,Transport ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 09, 2025",Timeous,A,,
2141,NW2129E,Mr T T S Kubheka ,MK ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2142,NW2131E,Mr K B Madlala ,MK ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2143,NW2132E,Mr T L Montana ,MK ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2144,NW2133E,Mr T L Montana ,MK ,Transport ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 09, 2025",Timeous,A,,
2145,NW2134E,Mr J A Mngxitam ,MK ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2146,NW2137E,Mr T S Mjadu ,MK,"Science, Technology and Innovation ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 02, 2025",Late,A,,
2147,NW2140E,Mr S R Moodley ,MK ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2148,NW2141E,Mr S R Moodley ,MK ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2149,NW2149E,Mr K M N Gigaba ,ANC ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2150,NW2152E,Ms N A Ndalane ,ANC ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2151,NW2155E,Mr C N Malematja ,ANC ,Transport ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 09, 2025",Timeous,A,,
2152,NW2156E,Ms S Mosikatsi ,ANC ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2153,NW2157E,Ms R C Adams ,ANC ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2154,NW2158E,Ms L A Mnganga-Gcabashe ,ANC ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2155,NW2163E,Mr B N Luthuli ,IFP ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2156,NW2164E,Mr S S Zondo ,IFP ,"Science, Technology and Innovation ","Friday, May 09, 2025","Friday, May 23, 2025","Thursday, June 05, 2025",Late,A,,
2157,NW2166E,Mr S L Ngcobo ,IFP ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2158,NW2167E,Mr T M Langa ,IFP ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2159,NW2168E,Ms L L van der Merwe ,IFP ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2160,NW2173E,Mr B S Madikizela ,DA ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2161,NW2174E,Mr B S Madikizela ,DA ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2162,NW2176E,Mr K H Wakelin ,DA ,Land Reform and Rural Development ,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2163,NW2177E,Mr E J Marais ,DA ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025",LAPSED,LAPSED,L,,
2164,NW2178E,Mr E J Marais ,DA ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2165,NW2179E,Mr E M Bath ,DA ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2166,NW2180E,Mr E M Bath ,DA ,Public Works and Infrastructure ,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 13, 2025",Timeous,A,,
2167,NW2182E,Mrs N W A Mazzone ,DA ,"Science, Technology and Innovation ","Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2168,NW2183E,Mr T R Ramongalo ,DA ,"Science, Technology and Innovation ","Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, May 20, 2025",Timeous,A,,
2169,NW2184E,Mr T R Ramongalo ,DA ,"Science, Technology and Innovation ","Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 30, 2025",Late,A,,
2170,NW2185E,Mr H C C Krüger ,DA ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, July 21, 2025",Late,A,,
2171,NW2186E,Mr H C C Krüger ,DA ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2172,NW2187E,Ms S Singh ,DA ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2173,NW2188E,Ms S Singh ,DA ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Monday, June 09, 2025",Late,A,,
2174,NW2189E,Mr K H Wakelin ,DA ,Small Business Development,"Friday, May 09, 2025","Friday, May 23, 2025","Tuesday, June 17, 2025",Late,A,,
2175,NW2192E,Ms H Ismail ,DA ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2176,NW2193E,Ms E Linde ,DA ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2177,NW2194E,Ms E Linde ,DA ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
2178,NW2197E,Mr R W T Chance ,DA ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2179,NW2198E,Mr M M Mdluli ,DA ,"Trade, Industry and Competition ","Friday, May 09, 2025","Friday, May 23, 2025","Monday, May 26, 2025",Late,A,,
2180,NW2200E,Dr C H H Hunsinger ,DA ,Transport ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 09, 2025",Timeous,A,,
2181,NW2202E,Mr T B Mabhena ,DA ,Transport ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 09, 2025",Timeous,A,,
2182,NW2203E,Mr T B Mabhena ,DA ,Transport ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 09, 2025",Timeous,A,,
2183,NW2205E,Mrs L F Tito ,EFF ,Tourism ,"Friday, May 09, 2025","Friday, May 23, 2025","Friday, May 23, 2025",Timeous,A,,
